serverTimestamp,propertyTimestamp,thingName,property,quality,hasChanged,timeSinceLastValueChangeS,byteSize,value
"2025-12-12 15:59:38.006+0100","1970-01-01 01:00:00.000+0100",,,,1,,,
"2025-12-12 15:59:38.006+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.006+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.006+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.006+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.006+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.006+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.006+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.006+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.006+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.006+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.011+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.011+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.011+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.111+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.111+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.111+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.111+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.111+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.111+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.161+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.161+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.161+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.161+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.161+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.161+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.166+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.166+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.326+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.326+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.326+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.326+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.326+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.326+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.326+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.326+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.326+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.326+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.326+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
"2025-12-12 15:59:38.326+0100","1970-01-01 01:00:00.000+0100",,,,1,0.000,,
